epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5881,0.82818,3.11625,1.34351,0.00437,0.82222,0.10014,0.04159,0.73121,3.69364,1.44166,1.667e-05,1.667e-05,1.667e-05
2,21.8455,0.61677,3.02387,1.26503,0.00431,0.82222,0.13697,0.06664,0.6999,3.65924,1.41291,4.90198e-05,4.90198e-05,4.90198e-05
3,31.0807,0.86065,2.95631,1.38898,0.0042,0.82222,0.20184,0.11723,0.57182,3.58366,1.26787,8.00493e-05,8.00493e-05,8.00493e-05
4,51.6065,0.61387,2.89483,1.16337,0.00408,0.82222,0.28675,0.18878,0.5441,3.48286,1.16639,0.000109759,0.000109759,0.000109759
5,77.5257,0.58063,2.69405,1.14718,0.00398,0.82222,0.45668,0.37241,0.52235,3.42585,1.13188,0.000138148,0.000138148,0.000138148
6,103.624,0.60369,2.54944,1.16328,0.00396,0.82222,0.46347,0.3862,0.55072,3.36483,1.17301,0.000165216,0.000165216,0.000165216
7,137.327,0.75352,2.41046,1.42678,0.004,0.82222,0.45883,0.36655,0.5622,3.3074,1.16019,0.000190965,0.000190965,0.000190965
8,168.379,0.57278,1.89267,1.18562,0.00416,0.82222,0.4629,0.40319,0.53651,3.23419,1.11669,0.000215393,0.000215393,0.000215393
9,177.981,0.62132,1.94965,1.15797,0.00427,0.82222,0.46485,0.40122,0.58336,3.21738,1.17598,0.000238501,0.000238501,0.000238501
10,188.262,0.68635,1.87566,1.22702,1,0.19291,0.51923,0.44297,0.59102,3.20454,1.17266,0.000260289,0.000260289,0.000260289
11,204.905,0.67065,1.87858,1.22969,1,0.09272,0.57824,0.48473,0.6042,3.15875,1.19993,0.000280756,0.000280756,0.000280756
12,238.777,0.57901,1.57479,1.21435,1,0.10002,0.60578,0.52173,0.55362,3.09542,1.11635,0.000299903,0.000299903,0.000299903
13,274.569,0.76377,1.7158,1.41537,1,0.09877,0.65406,0.56232,0.54638,3.04833,1.08593,0.00031773,0.00031773,0.00031773
14,308.818,0.53325,1.59085,1.12027,1,0.08459,0.63462,0.53119,0.52657,3.07333,1.07779,0.000334237,0.000334237,0.000334237
15,323.818,0.84594,2.24153,1.33028,1,0.09127,0.59079,0.50322,0.55424,3.15389,1.07921,0.000349423,0.000349423,0.000349423
16,350.111,0.70864,1.56216,1.22683,1,0.10069,0.47085,0.39176,0.61064,3.19562,1.11352,0.000363289,0.000363289,0.000363289
17,383.928,0.66397,1.69752,1.21034,1,0.10703,0.44487,0.37117,0.60405,3.17049,1.11947,0.000375835,0.000375835,0.000375835
18,419.337,0.76205,1.73302,1.30633,1,0.11064,0.48928,0.41022,0.60949,3.05387,1.14748,0.000387061,0.000387061,0.000387061
19,451.068,0.67706,1.52743,1.19119,0.99007,0.36111,0.58525,0.46029,0.606,2.83561,1.14968,0.000396966,0.000396966,0.000396966
20,483.392,0.67434,1.67168,1.20272,1,0.46331,0.5981,0.49928,0.59118,2.59762,1.13732,0.000405551,0.000405551,0.000405551
